date,metric,submetric,value,display
Oct 1 2023,Births by coverage,Medicaid,58.12,Percent
Jan 1 2024,Births by coverage,Medicaid,58.24,Percent
Apr 1 2024,Births by coverage,Medicaid,56.21,Percent
Jul 1 2024,Births by coverage,Medicaid,55.92,Percent
Oct 1 2024,Births by coverage,Medicaid,56.17,Percent
Jan 1 2025,Births by coverage,Medicaid,54.82,Percent
Apr 1 2025,Births by coverage,Medicaid,53.06,Percent
Jul 1 2025,Births by coverage,Medicaid,52.72,Percent
Oct 1 2025,Births by coverage,Medicaid,50.86,Percent
Jan 1 2026,Births by coverage,Medicaid,50.96,Percent
Oct 1 2023,Births by coverage,Non-Medicaid,41.88,Percent
Jan 1 2024,Births by coverage,Non-Medicaid,41.76,Percent
Apr 1 2024,Births by coverage,Non-Medicaid,43.79,Percent
Jul 1 2024,Births by coverage,Non-Medicaid,44.08,Percent
Oct 1 2024,Births by coverage,Non-Medicaid,43.83,Percent
Jan 1 2025,Births by coverage,Non-Medicaid,45.18,Percent
Apr 1 2025,Births by coverage,Non-Medicaid,46.94,Percent
Jul 1 2025,Births by coverage,Non-Medicaid,47.28,Percent
Oct 1 2025,Births by coverage,Non-Medicaid,49.14,Percent
Jan 1 2026,Births by coverage,Non-Medicaid,49.04,Percent
