date,metric,submetric,value,display
Oct 1 2023,Prenatal care in first trimester,Prenatal care in first trimester,71.93,Percent
Jan 1 2024,Prenatal care in first trimester,Prenatal care in first trimester,69.97,Percent
Apr 1 2024,Prenatal care in first trimester,Prenatal care in first trimester,71.55,Percent
Jul 1 2024,Prenatal care in first trimester,Prenatal care in first trimester,70.16,Percent
Oct 1 2024,Prenatal care in first trimester,Prenatal care in first trimester,71.45,Percent
Jan 1 2025,Prenatal care in first trimester,Prenatal care in first trimester,71.86,Percent
Apr 1 2025,Prenatal care in first trimester,Prenatal care in first trimester,73.92,Percent
Jul 1 2025,Prenatal care in first trimester,Prenatal care in first trimester,73.35,Percent
Oct 1 2025,Prenatal care in first trimester,Prenatal care in first trimester,75.38,Percent
Jan 1 2026,Prenatal care in first trimester,Prenatal care in first trimester,74.90,Percent
